"village_name","office_count"
"Wadrafnagar",14
"Jagadalpur",13
"Raipur",7
"Syahi",5
"Kataghora",4
"Raigarh",4
"Ambikapur",4
"Bilaspur",4
"Baloda Bazar",4
"Sukma",3
"Mahasamund",3
"Khairagarh",3
"Korba",3
"Durg",3
"Kundi",3
"Ramchandrapur",3
"Bijapur",3
"Kondagaon",2
"Bhilai nagar",2
"Chalgali Khas",2
"Adhaura",2
"Kawardha",2
"Pansara",2
"Sarangarh",2
"Ambagarh-Chowki",2
"Surajpur",2
"Bemetara",2
"Narayanpur",2
"Chikhalakasa",2
"Rajnandgaon",2
"Premnagar",2
"Janjagir",2
"Kusami",2
"Dhamatari",2
"Pasarkhet",1
"Dharamjaigarh",1
"Rudri",1
"Bhathapara",1
"Balod",1
"Gurur",1
"Kartala",1
"Gaurela",1
"Basen",1
"Abhanpur",1
"Madana",1
"Baikunthpur",1
"Kasdol",1
"Birgahani",1
"Bilha",1
"Jashpur",1
"Pasan",1
"Siwani",1
"Kharsiya",1
"Pali",1
"Sonakhan",1
"Lemroo",1
"Rangi Tola",1
"Pendra",1
"Bhaktudera",1
"Budha Bagicha",1
"Kudmura",1
"Ramanujnagar",1
"Jatga",1
"Mungeli",1
"Gatauri",1
"Nawagaon",1
"Gariyaband",1
"Gharghoda",1
"Lormi",1
"Sakti",1
"Padauli",1
"Dongrigaon",1
"Karhi",1
"Joratal",1
"Keshakal",1
"Dabhara",1
"Pratappur",1
"Gunderdehi",1
"Chhinddand",1
"Kosamsara",1
"Dongargarh",1
"Kakna",1
"Morga",1
